id,Hollingshead_SES_t1,age,gender,ethnicity_categorical,site,gnf.1,gnf.3,gnf.5,gnf.7,gnf.9,gnf.11,gnf.13,gnf.15,neur_t1,neur_t3,neur_t5,neur_t7,neur_t9,neur_t11,neur_t13,neur_t15,extra_t1,extra_t3,extra_t5,extra_t7,extra_t9,extra_t11,extra_t13,extra_t15,consc_t1,consc_t3,consc_t5,consc_t7,consc_t9,consc_t11,consc_t13,consc_t15,agree_t1,agree_t3,agree_t5,agree_t7,agree_t9,agree_t11,agree_t13,agree_t15,open_t1,open_t3,open_t5,open_t7,open_t9,open_t11,open_t13,open_t15,cs_sum_t1,cs_sum_t3,cs_sum_t5,cs_sum_t7,cs_sum_t9,cs_sum_t11,cs_sum_t13,cs_sum_t15,ddad_csrtot_cur_t1,ddad_csrtot_cur_t3,ddad_csrtot_cur_t5,ddad_csrtot_cur_t7,ddad_csrtot_cur_t9,ddad_csrtot_cur_t11,ddad_csrtot_cur_t13,ddad_csrtot_cur_t15,ddad_csrtot_past_t3,ddad_csrtot_past_t5,ddad_csrtot_past_t7,ddad_csrtot_past_t9,ddad_csrtot_past_t11,ddad_csrtot_past_t13,ddad_csrtot_past_t15,Zcs_sum_t1,Zcs_sum_t3,Zcs_sum_t5,Zcs_sum_t7,Zcs_sum_t9,Zcs_sum_t11,Zcs_sum_t13,Zcs_sum_t15,Zddad_csrtot_cur_t1,ddad_cp_z3,ddad_cp_z5,ddad_cp_z7,ddad_cp_z9,ddad_cp_z11,ddad_cp_z13,ddad_cp_z15,es_sum_t1,es_sum_t3,es_sum_t5,es_sum_t7,es_sum_t9,es_sum_t11,es_sum_t13,es_sum_t15,Zes_sum_t1,Zes_sum_t3,Zes_sum_t5,Zes_sum_t7,Zes_sum_t9,Zes_sum_t11,Zes_sum_t13,Zes_sum_t15,cses_1,cses_3,cses_5,cses_7,cses_9,cses_13,cses_15
10205,18.5,16,2,5,2,-.991,-1.093,-1.589,-1.883, ,-1.306, , ,5.125,3.125,4.5,2.75, ,1.875, , ,6.75,7.25,7.375,7.375, ,7.375, , ,6.14285714285714,5.71428571428571,6.42857142857143,5.28571428571429, ,6.71428571428571, , ,7.875,8,7.875,8.75, ,8.875, , ,7.5,5.875,6.625,6.5, ,5.85714285714286, , ,20.5,21.5,20,20,19.5,22, ,19.5,2,2,1,2,1,1, ,0,0,0,0,0,0, ,0,-.585184356784279,-.127855716491252,-.727391978118551,-.65208199499772,-.889568732536571,-.209136425599511, ,-1.28726849254795,-.325293621427806,-.0377620747085423,-.231341804146066,.0421649560319236,-.217688284197256,-.273598395089844, ,-.421557539315547,10,9,11.5,7.5,1.5,7, ,3,.649744884877623,.753570398955005,1.1262352131549,.242753831754411,-1.09514274229937,.0182194214797175, ,-.972503275033622,4.70740782160786,3.39543178720024,5.38630401094072,3.42395900250114,.305215633731715, ,.856365753726023
10206,55,16,2,4,2,.179, , , , , , , ,3.75, , , , , , , ,3.125, , , , , , , ,7, , , , , , , ,8.25, , , , , , , ,7.875, , , , , , , ,21.5, , , , , , , ,14, , , , , , , , , , , , , , ,-.303650575530125, , , , , , , ,3.05359628306709, , , , , , , ,4, , , , , , , ,-.584960937411818, , , , , , , ,1.84817471223494, , , , , , 
10208,26.5,16,2,5,2,.515,-.273,-.198,-.396,-.084,-.13, ,.568,6.125,5,4.875,4.625,4.75,3.875, ,5.625,7,6.375,7.5,7.375,7.5,7.375, ,6.125,4.85714285714286,5.85714285714286,5.57142857142857,6.83333333333333,7.57142857142857,5.42857142857143, ,5.75,5.75,6.42857142857143,6.5,6.5,7.625,7, ,5.125,6.625,5.375,6.125,6.5,7.14285714285714,6.25, ,5.875,24.5,25,20.5,18.5,21.5,23,22,23,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,.540950768232337,.943197908542073,-.570601368769956,-1.10918308108259,-.317111292462233,.100057427149564,-.38407338136095,-.0982840078491994,.23785469598801,-.485466294394414,-.45363384700441,-.215070490154857,-.442828293814146,-.424035247982286,-.433145822630003,-.421557539315547,1.5,10,0,0,9,0,1.5,3,-1.09942169669908,.990282714476895,-1.41809136034656,-1.19988281670136,.464862435228271,-1.28126850514118,-1.22291228725216,-.972503275033622,1.02047538411617,.0500287135747822,-.285300684384978,-.554591540541296,4.34144435376888,.557963309319525,1.4508579960754
10209,37.5,16,2,8,2,-.609, , , , , , , ,4.625, , , , , , , ,6.125, , , , , , , ,5.85714285714286, , , , , , , ,7, , , , , , , ,5.125, , , , , , , ,27, , , , , , , ,7, , , , , , , , , , , , , , ,1.24478522136772, , , , , , , ,1.08257717211173, , , , , , , ,13, , , , , , , ,1.26709779602234, , , , , , , ,7.12239261068386, , , , , , 
10213,50,15,2,4,2,-.545,1.078,-.01,1.173,1.883, ,.229,.278,6.25,8.25,7.625,6.75,8.125, ,7,6.75,8.125,5.125,7.625,7.5,7.875, ,7.125,7.375,7.71428571428571,6,8,7.28571428571429,8.14285714285714, ,7.5,8.125,6.625,4.25,5,6.125,3.5, ,5.625,5.375,6.25,5.875,6,6,5.5, ,6,5.75,21.5,22,21.5,16,24.5,20,22,18,3,3,0,1,0,2,0,0,0,0,0,4,0,0,0,-.303650575530125,.0251519442277943,-.257020150072765,-1.87101822455738,.541574867649274,-.827524131097661,-.38407338136095,-1.79683327170456,-.0437194627198978,.186090035134394,-.45363384700441,-.215070490154857,.941058513882836,-.123161542197401,-.433145822630003,-.421557539315547,5.5,10.5,6.5,4,5,0,5,7,-.276284481839457,1.10863887223784,.0200062681542669,-.430476604191615,-.367140326119804,-1.28126850514118,-.484087275826199,-.150721192892667,2.59817471223494,-.413762065548831,3.12148992496362,1.06449088772131,2.77078743382464,2.30796330931952,2.60158336414772
10217,63,16,1,1,2,2.594,1.005,.316,.674,.283, ,.817, ,6.125,6.125,5.5,6,5.375, ,5.75, ,5,5.75,6.125,4.125,6.625, ,5.25, ,5.28571428571429,5.42857142857143,5.85714285714286,6,5.71428571428571, ,6, ,6.375,5.875,7.5,5.25,6.25, ,6.625, ,8,7.375,7.25,5,6.625, ,6.28571428571429, ,23.5,24.5,26,24,21, ,27, ,12,1,0,0,1, ,11, ,0,0,0,0, ,4, ,.259416986978183,.790190247823026,1.15409533406459,.566854234561939,-.460225652480817, ,1.30767841749086, ,2.49044796565127,-.261614184551478,-.45363384700441,-.472305936341638,-.217688284197256, ,2.92716324140467, ,10,6.5,8,6,1.5, ,0, ,.649744884877623,.161789610150282,.351874951654458,-.0457734979367429,-1.09514274229937, ,-1.53955157786329, ,5.12970849348909, ,4.5770476670323,3.28342711728097,.519887173759591,.653839208745429, 
10226,28,16,2,5,2,-1.082,-1.613,-1.32,-1.1, ,-.895,-.837,-.45,4,3,3.5,2.75, ,3.5,2.875,4.25,7.375,6,5.25,6.875, ,4.75,6,5,4.57142857142857,4.42857142857143,6.14285714285714,6.14285714285714, ,6.71428571428571,7.28571428571429,6.625,7.875,6.5,7.5,7.875, ,7.5,7.875,8,3.25,5.375,6,5.875, ,6.125,5.625,6.5,26.5,25,28,25,26.5,30,23,24.5,4,3,2,0,0,3,1,0,0,3,0,0,3,4,1,1.10401833074065,.943197908542073,1.78125777145897,.871588291951853,1.11403230772361,2.26441439639309,-.0457230215905888,.41128077130741,.23785469598801,.186090035134394,1.26942179834738,-.472305936341638,-.442828293814146,.977008805729665,1.20021327263257,-.0835901511812623,8,4.5,9,11,11,13,16.5,4.5,.23817627744781,-.311635020893497,.573120740654585,.915984267700438,.880863815902308,1.1320662157262,1.9434806188591,-.664334994230764,4.55200916537032,7.63220719819655,5.39062888572949,5.93579414597593,6.05701615386181,8.22713848920471,2.4556403856537
10228,16,15,2,5,2,-1.329,-1.4, , , , , , ,2.75,1.75, , , , , , ,4.875,4.75, , , , , , ,6.85714285714286,7.71428571428571, , , , , , ,8,8.16666666666667, , , , , , ,6.125,6.125, , , , , , ,20.5,20, , , , , , ,1,0, , , , , , ,0, , , , , , ,-.585184356784279,-.586878698648391, , , , , , ,-.606867780135713,-.485466294394414, , , , , , ,2,3, , , , , , ,-.996529544841631,-.666703494176332, , , , , , ,.70740782160786, , , , , , 
10230,39.5,17,1,4,2,.535,1.13,.546, ,.572,.86,.708,.537,6.5,4,5.5, ,4.375,4.42857142857143,4.14285714285714,4.375,5.875,5.375,5.25, ,4.71428571428571,6.71428571428571,5.625,5,4.42857142857143,6.28571428571429,5.66666666666667, ,5.42857142857143,6,5,5.75,7.25,4.71428571428571,6.125, ,5.875,5.25,4.875,4.875,7.75,5.625,7.375, ,6.25,5.57142857142857,4.375,4.625,28.5,28.5,32.5,31.5,39,24,27,25,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.66708589324895,2.0142515335754,3.19237325559633,2.8523596649863,4.69189130818822,.40925127989864,1.30767841749086,.581135697692946,1.36415133081964,-.485466294394414,-.45363384700441,.0421649560319236,-.442828293814146,-.424035247982286,-.433145822630003,-.421557539315547,14,7.5,24,17,23.5,8,5,6.5,1.47288209973725,.398501925672171,3.89180757565649,2.07009358646505,3.48087244511504,.203860553854131,-.484087275826199,-.253443953160287,7.83354294662448,4.20462563994932,13.5961866277982,9.92617983249315,14.0959456540941,3.15383920874543,3.54056784884647
10233,26,16,1,1,2,-.325, , , , , , , ,3.625, , , , , , , ,5.875, , , , , , , ,7, , , , , , , ,8.5, , , , , , , ,8, , , , , , , ,29.5, , , , , , , ,0, , , , , , , , , , , , , , ,1.94861967450311, , , , , , , ,-.888441938843621, , , , , , , ,6, , , , , , , ,-.173392329982004, , , , , , , ,3.97430983725155, , , , , , 
