13,7,6,7,5,4,5,7,6,8,8,4,8,3,6,4,5,6,6,5,5,7,5,5,6,5,6,7,4,6,6,6,1,5,6,6,7,5,6,5,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
14,5,7,7,3,7,5,7,6,8,7,5,8,6,9,9,6,3,2,4,3,6,2,7,8,4,7,2,4,4,5,7,7,8,9,8,7,9,8,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
15,4,8,4,5,3,3,6,3,9,7,8,8,8,8,8,9,9,6,7,7,5,8,7,5,6,6,6,4,5,2,5,6,9,4,8,8,5,8,8,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
22,6,7,9,9,8,8,9,8,9,8,9,9,9,9,9,9,7,3,6,6,8,4,4,3,6,4,6,3,6,3,4,8,9,9,9,9,8,9,9,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
26,5,6,7,5,2,2,7,3,9,9,9,9,9,9,9,9,9,8,5,5,7,9,5,6,5,6,7,3,5,5,6,3,7,9,8,6,5,9,7,8,6,3,3,3,2,6,4,8,9,8,9,8,8,8,9,7,4,8,8,8,8,5,6,1,4,1,6,3,5,5,2,9,7,7,8,8,3,7,8
27,3,3,6,5,4,5,4,8,9,8,6,3,8,6,8,8,8,6,6,2,4,6,8,4,7,5,5,6,8,2,6,6,5,5,6,6,4,5,4,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
29,2,5,4,2,2,2,3,3,8,7,7,7,8,8,9,8,7,6,6,6,6,5,7,7,6,7,7,3,4,5,6,7,7,7,8,8,7,6,7,4,6,7,2,2,2,5,6,8,9,9,9,9,9,9,9,9,9,9,9,6,8,9,9,3,3,3,3,4,3,3,7,7,9,9,8,6,7,8,7
30,7,7,8,8,8,8,8,8,8,7,7,8,8,7,8,8,6,8,4,7,7,8,8,4,3,5,6,6,6,4,8,3,7,8,8,8,6,8,8,9,8,8,9,7,9,9,9,9,8,4,8,7,6,6,8,8,7,8,8,8,8,8,9,4,6,6,6,4,6,6,6,7,8,9,9,7,4,9,7
31,6,6,9,7,6,6,7,8,8,9,9,7,8,6,7,8,8,4,7,8,7,6,5,2,1,1,2,3,3,3,2,8,6,7,8,8,6,7,7,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*,*
32,4,8,9,5,8,6,9,8,8,7,7,7,8,7,7,8,6,9,8,7,4,6,5,6,6,4,6,7,3,9,6,8,8,6,6,7,4,4,8,7,8,3,7,5,4,4,4,5,5,5,4,5,7,6,7,4,7,3,3,6,3,5,6,5,6,4,4,6,3,3,6,4,3,4,8,5,3,7,5
